GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,Temperature
0.36943,-0.11622,0.09651,0.00076,-0.00621,-0.98966,26.676,-1.115,45.573,25.025
0.32478,-0.24437,-0.02207,0.00637,0.01131,-0.99805,26.983,-0.990,45.933,25.035
0.38184,-0.09040,0.14032,-0.00779,0.00019,-1.01511,26.799,-1.097,46.010,25.028
0.48922,-0.22008,-0.02352,-0.01129,-0.00776,-1.01093,26.958,-1.252,45.844,25.024
0.50661,-0.06097,0.03320,-0.00219,-0.00426,-1.01297,26.969,-0.903,45.700,24.997
0.51364,-0.57174,0.15662,0.00115,-0.00457,-0.98887,27.043,-1.265,45.680,25.002
0.27318,-0.41623,0.33699,0.00822,0.00639,-1.00875,27.320,-0.705,45.748,24.977
0.22004,-0.15722,-0.00695,-0.00027,0.00871,-1.01205,27.301,-0.808,45.392,24.952
0.30749,-0.37467,0.09044,-0.02065,-0.00183,-0.98558,26.521,-1.268,45.329,25.055
0.31620,0.07111,0.16103,-0.00298,0.00440,-1.00405,26.465,-1.125,45.658,25.032
0.40632,-0.29655,0.19324,0.01390,-0.00886,-0.98610,26.739,-1.392,46.308,25.031
0.55556,-0.09736,-0.12209,0.00097,-0.00420,-1.01073,26.357,-1.174,45.849,25.044
0.30413,-0.33978,-0.01803,-0.00444,-0.00826,-1.00163,26.794,-1.424,45.643,24.986
0.34933,-0.14394,0.15672,0.00378,-0.01322,-1.00303,26.869,-1.040,45.302,25.033
0.53096,-0.24679,0.11579,0.00360,0.00198,-0.99460,26.818,-1.162,45.506,25.017
0.53797,-0.25063,0.10472,-0.00393,0.00630,-1.00684,27.028,-1.434,45.437,25.036
0.36953,-0.17537,0.28938,-0.00330,0.00354,-1.00728,27.115,-1.042,45.835,25.035
0.23216,-0.26911,0.20527,-0.00015,0.00099,-1.01088,26.845,-1.373,45.430,25.019
0.07152,-0.11521,0.25780,-0.00043,-0.00795,-1.00756,26.762,-1.806,45.746,25.060
0.30322,-0.29416,0.15730,0.00281,0.00875,-0.99985,26.628,-1.315,45.747,25.105
0.30196,-0.37788,-0.00052,-0.01677,0.00264,-1.01089,26.492,-1.694,45.422,25.056
0.15330,-0.48245,0.15674,-0.00273,0.00346,-0.99408,26.798,-1.524,45.670,25.053
0.26255,-0.43562,0.29539,-0.00332,-0.00327,-0.99987,27.058,-1.134,45.618,25.063
0.67205,-0.01183,0.23093,-0.00898,0.03002,-1.00959,26.707,-1.375,46.108,25.050
0.13593,-0.17986,0.21204,-0.00255,-0.00976,-1.00580,26.691,-1.194,45.571,25.066
0.20751,-0.47971,0.01909,0.01079,-0.00459,-0.98127,26.923,-1.491,45.493,25.042
0.17335,0.13619,-0.01863,0.00545,0.01168,-1.00087,26.551,-1.268,45.792,25.074
0.35851,-0.43003,0.13635,-0.00539,-0.01747,-1.00558,26.442,-1.053,46.187,25.123
0.26402,-0.29011,0.23332,0.00849,-0.00335,-1.00114,27.352,-1.227,45.580,25.037
0.43696,-0.37325,0.09274,-0.00933,-0.00223,-0.98498,26.985,-1.223,45.468,25.016
0.50761,-0.30425,0.34756,-0.01099,-0.00232,-0.98606,26.298,-0.903,45.238,25.027
0.32412,-0.09636,-0.34318,-0.01534,-0.00453,-0.99970,26.577,-1.255,45.405,25.012
0.22299,-0.18340,0.21721,0.01146,-0.00525,-1.00254,26.812,-1.274,45.688,24.954
0.40576,-0.35728,-0.01354,-0.01271,0.00929,-1.00112,27.087,-1.132,45.275,24.979
0.46369,-0.33485,-0.03355,-0.00144,-0.00142,-1.00809,26.718,-1.320,45.054,25.058
0.22829,-0.02433,-0.04252,-0.01264,0.00950,-1.01268,26.641,-1.051,45.619,24.951
0.37821,-0.24915,0.32258,0.00471,0.02429,-1.01317,26.795,-1.467,45.990,25.075
0.46311,-0.33660,0.01823,-0.01624,0.01368,-0.99593,26.735,-0.967,45.889,25.083
0.10647,-0.32708,0.15932,0.00284,0.00766,-1.00807,26.832,-0.649,45.874,25.078
0.34712,-0.10486,0.40060,0.00085,0.00979,-1.00700,26.948,-0.974,45.513,25.090
0.24871,-0.34079,0.12982,0.01546,0.00247,-0.99251,26.617,-1.181,45.407,25.007
0.47535,-0.22576,0.34769,-0.00162,-0.00158,-0.98979,26.638,-1.580,46.027,25.057
0.02522,-0.21332,0.06943,0.01396,-0.00583,-1.00465,26.572,-1.464,45.526,24.965
0.19532,-0.46099,-0.09459,-0.01248,-0.00417,-1.00547,26.493,-1.080,45.689,25.015
0.28040,0.01893,0.16597,0.00380,-0.02069,-1.00523,26.257,-1.307,45.795,25.003
0.42779,-0.37341,0.21637,-0.01243,-0.00209,-0.99664,26.934,-1.232,46.186,25.017
0.28235,-0.63393,0.39534,-0.00295,-0.00941,-0.98943,27.109,-1.173,45.343,25.059
0.25679,-0.39562,0.28651,-0.01706,0.00454,-0.99633,27.313,-1.119,45.187,24.997
0.35970,-0.16667,0.27712,-0.01568,-0.00264,-0.99224,27.186,-0.735,45.604,25.094
0.60676,-0.04029,0.23855,0.00662,-0.00632,-1.01158,27.046,-1.287,45.694,25.010
0.29106,-0.18509,-0.02328,0.00055,0.00197,-1.00062,26.614,-1.003,46.169,25.010
0.53517,-0.08661,-0.26799,-0.00609,-0.00509,-0.99375,26.847,-1.081,45.860,24.995
0.23802,-0.40343,0.10446,-0.00095,0.00137,-1.00582,27.027,-0.971,46.088,25.076
0.37783,-0.11914,0.22146,-0.00521,0.01032,-0.98625,27.294,-1.191,45.782,25.062
0.34962,-0.12711,0.11182,-0.00155,0.01407,-0.99868,26.817,-0.979,45.739,25.056
0.34047,-0.40306,0.12535,-0.00910,0.00168,-1.00945,27.029,-1.013,45.771,25.037
0.41245,-0.51475,-0.03452,-0.00119,0.00276,-1.00064,26.549,-1.167,45.588,24.989
0.39943,-0.25150,0.30947,0.00532,0.00588,-0.99743,26.589,-1.434,45.333,25.186
0.18808,-0.25147,0.07594,-0.00225,-0.00467,-1.01495,26.550,-1.548,45.670,25.009
0.24692,-0.18762,0.04258,0.00746,-0.00309,-0.99820,26.469,-1.036,45.600,25.064
0.39950,-0.24602,0.16262,-0.00308,0.01077,-0.99253,26.921,-1.495,45.426,25.010
0.31325,-0.15280,-0.00448,0.00942,0.00003,-1.01610,26.681,-1.846,45.513,25.017
0.25844,-0.26879,0.07088,-0.00475,0.01202,-0.99028,26.515,-0.887,45.296,25.004
0.57878,-0.55593,0.21622,-0.01003,-0.00115,-1.00144,27.224,-1.403,45.684,25.076
0.31223,-0.34331,0.12112,0.00075,0.00707,-1.00754,26.688,-1.119,45.659,25.036
0.34745,-0.32438,0.01005,0.00353,-0.00876,-0.99068,26.854,-1.519,45.772,25.054
0.46432,-0.04617,0.07504,-0.00566,-0.00485,-1.00785,26.613,-1.129,45.705,25.021
0.23926,-0.16782,0.05476,-0.00832,-0.00121,-1.00212,26.532,-0.993,45.913,25.048
0.36966,-0.14090,0.12536,0.00713,0.01325,-0.99936,26.910,-0.982,45.617,24.990
0.48590,-0.45531,0.39833,0.00696,0.00150,-0.99959,27.238,-1.437,45.411,25.017
0.31073,-0.37097,0.15308,0.00109,-0.00651,-0.98718,26.452,-1.519,45.795,25.037
0.41266,-0.31285,-0.02500,-0.00516,-0.00547,-0.99580,26.680,-1.010,45.848,25.100
0.48511,-0.10235,0.24548,-0.00413,-0.00210,-1.01464,26.873,-1.368,45.802,25.075
0.14719,-0.37208,0.07760,-0.00414,0.00134,-1.00924,26.812,-1.622,45.162,25.085
0.15420,-0.30399,-0.08260,-0.01127,-0.00319,-1.00328,27.046,-1.088,45.636,25.087
0.51748,-0.15831,0.06905,0.00815,0.01415,-0.99472,27.243,-0.968,45.913,24.995
0.18297,-0.22742,-0.12042,-0.00474,0.00694,-1.00532,26.933,-1.538,45.578,25.101
0.38128,-0.17646,0.38571,0.01037,-0.00701,-0.98946,26.646,-1.204,45.705,25.104
0.18061,-0.15222,0.20860,0.00649,-0.00168,-0.99197,26.622,-0.913,45.789,24.981
0.41119,-0.19310,0.07665,-0.00589,-0.00192,-1.01154,27.223,-1.482,45.536,25.108
0.43775,-0.11196,0.35751,-0.00250,-0.00837,-0.99325,26.999,-1.282,45.385,25.114
0.43638,-0.42602,0.24699,-0.01153,-0.00386,-1.00899,26.641,-1.408,45.548,25.088
0.39419,-0.12569,0.29385,-0.00298,0.00064,-0.99569,27.227,-0.975,46.047,25.103
0.50859,-0.48770,0.26213,0.00170,0.00043,-1.00422,26.694,-1.096,45.911,24.978
0.38272,-0.30410,-0.01262,0.00314,-0.00263,-1.00527,26.608,-1.130,45.699,24.999
0.22385,-0.24738,0.19077,-0.00840,0.00390,-1.00659,27.482,-1.435,45.504,25.063
0.21464,-0.09586,0.40021,-0.00310,0.00138,-1.00414,26.800,-0.842,45.925,25.009
0.58189,-0.04569,0.20296,-0.00527,0.00053,-1.00636,26.917,-1.279,45.143,25.101
0.37872,-0.05823,0.10957,0.00151,0.00892,-0.99690,26.872,-0.396,45.659,25.063
0.61010,-0.34075,-0.02615,-0.01146,0.00427,-0.99499,26.985,-1.538,45.953,25.115
0.33540,-0.21512,0.23134,0.00294,0.00514,-1.00869,26.756,-1.503,45.859,25.082
0.33518,-0.17548,-0.10348,0.00686,-0.00374,-0.99897,27.079,-1.389,46.001,25.062
0.35423,-0.13659,-0.05705,0.00475,0.00049,-0.99171,26.746,-1.291,45.794,25.053
0.17390,-0.24909,0.32014,-0.00074,-0.00696,-0.99427,26.337,-1.730,45.700,25.066
0.38306,-0.35392,0.10743,-0.01119,0.00176,-1.01292,26.763,-1.135,45.262,25.031
0.46822,0.01235,-0.09559,0.00272,-0.00989,-1.01076,27.199,-1.033,45.500,25.069
0.44629,-0.19281,0.46709,0.00485,-0.02394,-1.00232,26.616,-1.251,45.705,25.025
0.18726,-0.01549,0.21960,-0.00537,0.00544,-0.99460,27.117,-1.464,45.896,25.028
0.52326,-0.24887,-0.21077,0.00028,-0.01427,-1.00174,26.785,-1.300,45.330,25.003
0.22331,-0.25722,0.32327,0.00567,-0.00378,-0.98981,26.458,-1.029,45.657,25.071
0.44577,-0.32194,0.25017,-0.00007,0.01929,-1.00243,27.117,-1.038,45.408,25.128
0.19094,-0.55480,0.25800,0.00855,0.00042,-1.00209,27.196,-1.022,45.537,25.097
0.16351,-0.30385,-0.02767,-0.01760,-0.00942,-0.99022,26.526,-1.338,45.411,25.104
0.35018,-0.14639,0.11415,-0.00937,-0.00779,-0.99330,26.786,-1.006,44.911,25.116
0.27590,0.10593,0.05339,0.00023,0.00528,-1.00701,27.018,-1.361,46.024,25.101
0.42435,-0.32863,0.09841,0.00240,-0.01627,-1.00441,27.035,-1.517,46.021,25.030
0.39849,-0.39215,0.20266,0.00370,0.00909,-0.98917,27.113,-1.148,45.395,25.128
0.15438,-0.28581,0.24057,0.00355,0.01274,-1.00003,26.377,-1.269,45.745,25.045
0.56187,-0.25714,-0.08538,0.00373,-0.00918,-0.98640,26.868,-1.551,45.971,25.181
0.04939,-0.08454,0.20260,0.00141,0.00275,-0.99606,26.627,-0.847,45.364,25.161
0.57915,-0.39792,0.12919,0.01136,-0.00393,-1.00130,26.699,-0.908,45.549,25.063
0.43103,-0.25114,0.00004,-0.01073,-0.01215,-1.00944,26.370,-1.382,45.776,25.067
0.22601,-0.37270,-0.01901,-0.01110,-0.00989,-0.99429,26.449,-1.196,45.547,25.186
0.08046,-0.19100,0.07994,-0.00617,0.00252,-0.99876,26.533,-1.093,45.799,25.130
0.25850,0.00057,0.10048,-0.01581,0.00418,-1.00065,26.579,-0.967,45.583,25.116
0.33759,-0.10745,0.23192,0.00379,-0.00826,-0.99264,26.805,-0.699,45.821,25.103
0.23527,-0.28092,0.14451,-0.00936,-0.00936,-1.00087,26.781,-1.149,45.981,25.046
0.45213,-0.24170,0.10090,0.00206,-0.01654,-0.99947,26.640,-1.432,45.230,25.044
0.06838,-0.08948,0.09410,-0.01346,-0.00539,-0.99396,26.651,-1.270,45.609,25.060
0.09503,-0.22682,0.04629,0.02363,-0.00170,-1.00364,27.047,-1.239,45.765,25.023
0.58328,-0.31415,0.18630,0.00906,-0.00244,-1.00000,26.947,-1.029,45.429,25.077
0.20819,-0.33181,0.03274,0.00973,0.01277,-0.97916,26.786,-1.410,45.459,25.148
0.11924,-0.26755,0.04509,0.01400,-0.00811,-0.99119,27.128,-1.242,45.818,24.991
0.33677,-0.25225,-0.25694,0.00332,0.00284,-1.01355,26.447,-1.387,45.569,25.053
0.20628,-0.37118,0.17598,-0.00380,-0.00085,-1.00184,26.914,-1.239,45.917,25.074
0.48336,-0.03294,-0.08907,0.00738,0.01426,-1.00778,26.792,-1.289,45.811,25.096
0.24961,-0.02312,0.00150,-0.00111,0.00819,-0.98437,26.672,-1.004,45.756,24.991
0.20672,-0.40072,0.05450,-0.00333,0.00022,-0.98978,26.906,-0.537,45.640,25.110
0.41216,0.00599,0.07319,0.00676,0.01303,-1.00577,26.781,-1.074,45.593,25.027
0.62491,-0.25445,0.39011,-0.00407,-0.00166,-0.99362,26.748,-1.425,45.521,25.085
0.25008,-0.20679,-0.20859,-0.00446,-0.00144,-1.00410,26.552,-1.421,45.719,25.146
0.14024,-0.26144,0.27656,0.00268,-0.00075,-1.00361,26.803,-1.225,45.155,25.036
0.05756,-0.02634,0.25340,-0.00631,0.00644,-0.98041,26.644,-0.875,45.792,25.061
0.18411,-0.30339,0.07076,-0.01853,0.00424,-1.00257,26.915,-1.305,46.451,24.990
0.21004,-0.11422,0.48377,-0.00794,0.01463,-1.00734,27.123,-1.181,46.259,25.162
0.25284,0.22036,-0.03862,-0.00251,0.01446,-1.00588,26.640,-1.167,45.814,25.093
0.23815,-0.19047,0.22561,0.01203,0.00263,-1.01002,26.807,-1.355,46.031,24.990
0.43396,-0.37981,0.32081,0.00617,0.00175,-0.99596,26.716,-1.031,45.689,25.111
0.35879,-0.59218,0.05295,0.01214,0.01162,-0.99916,26.768,-1.284,45.859,25.104
0.20314,-0.12075,0.31493,-0.00764,-0.00149,-0.99629,26.981,-1.305,45.569,25.052
0.40778,-0.15563,0.12709,-0.01091,-0.00872,-0.99491,26.495,-1.143,45.611,25.045
0.35400,0.03145,0.17332,-0.00237,-0.01179,-0.99590,27.084,-1.048,45.993,25.100
0.15451,-0.22674,0.20873,0.00577,-0.00394,-1.00051,26.891,-0.882,45.953,25.109
0.40943,-0.37379,-0.03514,-0.00073,0.00833,-0.99684,26.940,-1.575,45.336,25.133
0.34480,-0.41705,0.26233,0.00206,0.02361,-0.99000,26.887,-1.238,45.759,25.072
0.13418,-0.08087,0.17123,-0.02204,-0.00508,-1.00663,27.045,-1.211,46.073,24.998
0.18863,-0.05994,0.03172,-0.00847,-0.00421,-1.00608,26.935,-0.920,45.305,25.063
0.35214,-0.20767,0.25499,0.00096,-0.00464,-1.00890,26.344,-1.293,45.705,25.124
0.29333,0.12856,0.11853,-0.00387,0.00304,-1.00776,26.852,-1.716,45.870,25.082
0.38159,-0.19678,-0.06106,-0.00719,0.01253,-0.99604,26.651,-1.095,45.803,25.177
0.51655,-0.15832,0.06262,0.01427,-0.00081,-1.00696,26.495,-1.416,45.610,25.118
0.48698,-0.04734,0.15295,0.00665,0.01807,-0.99272,27.201,-1.578,45.516,25.042
-0.05156,-0.20895,0.33887,-0.00428,0.00156,-1.00683,26.677,-1.129,45.402,25.139
0.06219,-0.17166,0.05628,0.01191,0.00609,-1.01667,26.194,-1.450,45.576,25.071
0.35454,-0.11896,-0.07490,-0.01440,0.00202,-1.00289,26.774,-1.360,45.658,25.156
0.10651,-0.40383,0.22624,0.01254,-0.00165,-1.01010,26.300,-1.135,45.389,25.190
0.70124,-0.18605,0.20282,-0.00094,0.00913,-1.00002,26.816,-0.860,45.858,25.189
0.10448,-0.30334,-0.00559,0.00673,-0.00395,-0.99518,26.508,-1.224,46.276,25.164
0.06822,-0.16531,0.25395,-0.00395,-0.00882,-0.99470,26.825,-1.062,45.662,25.199
0.21292,-0.29440,0.20723,0.00585,-0.01103,-0.98962,26.435,-1.198,45.625,25.048
0.51999,-0.57206,0.02038,-0.00722,0.00700,-0.98760,26.994,-0.851,45.145,25.092
0.14254,-0.27624,0.16670,0.00076,0.01101,-1.01583,26.591,-1.570,45.292,25.134
0.37736,0.01349,0.30778,0.00055,-0.00776,-0.99207,26.627,-1.500,45.414,25.090
0.53983,-0.21211,0.31366,0.00073,-0.00341,-0.97823,27.255,-1.151,45.493,25.004
0.41020,-0.25833,0.20005,0.00258,0.00349,-0.99086,26.879,-1.381,45.509,25.114
0.18923,-0.11225,0.23713,-0.00035,-0.00625,-1.01421,26.519,-1.606,45.708,25.063
0.21190,-0.08911,0.14940,0.00038,0.00446,-0.99171,26.399,-1.023,45.249,25.046
0.50182,-0.11632,0.22971,0.00146,0.01130,-1.01233,26.724,-1.188,46.210,25.138
0.50576,-0.33420,0.46745,0.00377,-0.00805,-0.98124,26.443,-1.417,45.643,25.038
0.42908,-0.17849,0.14703,0.01515,-0.01307,-0.98907,26.594,-0.834,46.178,25.202
0.32142,-0.39449,0.17919,-0.00043,-0.01410,-0.99412,26.569,-0.839,45.943,25.074
0.35542,-0.25639,0.06139,0.02479,-0.00749,-0.99956,27.048,-1.296,45.544,25.022
0.52881,-0.11320,0.20049,-0.01207,0.00403,-0.99772,26.715,-1.544,45.687,25.045
0.36201,-0.21050,0.07928,0.00706,-0.00053,-0.99577,26.905,-0.948,45.460,25.072
0.48830,-0.19697,0.29887,0.00596,-0.00356,-0.99296,26.736,-0.961,46.165,25.144
0.69343,-0.45274,0.04774,-0.00213,-0.00320,-0.99702,26.708,-0.923,45.947,25.110
0.19817,-0.13789,0.23114,0.00283,0.00024,-0.98880,26.663,-1.292,45.868,25.117
0.47789,-0.26260,-0.06721,-0.00990,-0.00346,-0.99366,26.998,-1.654,45.835,25.086
0.19368,0.10862,0.16959,0.00662,0.02054,-1.00465,26.701,-0.828,45.374,25.094
0.35693,-0.07447,0.19081,-0.00731,0.00778,-0.99324,26.537,-1.372,45.570,25.034
0.50970,-0.26858,0.08833,-0.00830,-0.00316,-0.98812,26.987,-1.604,45.454,25.123
0.27528,-0.30299,0.00093,-0.01065,0.00076,-1.00304,27.085,-1.217,45.460,25.127
0.55192,-0.33036,-0.12539,-0.00383,-0.01080,-0.98687,26.453,-1.282,46.070,25.136
0.27295,-0.33746,0.10278,-0.00192,0.01197,-1.00124,26.463,-0.954,45.960,25.081
0.46582,-0.21231,-0.05102,-0.00065,-0.00916,-1.00507,26.565,-1.117,45.748,25.027
0.21202,-0.22040,0.19966,0.00058,-0.01765,-0.98970,27.243,-0.804,45.837,25.127
0.25187,-0.19171,-0.03959,0.00097,-0.01144,-0.99532,26.711,-1.008,45.747,25.071
0.47650,-0.39601,0.09027,-0.00430,0.00595,-1.00060,26.868,-1.069,45.115,25.048
0.36739,-0.06813,0.21589,0.01049,-0.00177,-0.99919,26.675,-1.309,45.494,25.068
0.32143,-0.31773,0.13399,-0.01455,0.00342,-0.99858,26.912,-1.316,45.574,25.144
0.32682,0.07798,-0.08092,-0.00198,-0.00902,-1.00629,26.603,-1.320,45.897,25.038
0.44150,-0.43613,0.06917,0.01056,0.00370,-0.99782,26.958,-1.056,45.858,25.166
0.19423,-0.23061,0.22559,0.00600,0.00446,-0.98955,26.675,-1.537,46.019,25.096
0.26770,-0.21464,0.06516,0.00805,0.00712,-0.99751,26.935,-1.192,45.958,24.979
0.17477,-0.22599,0.06798,-0.00760,0.00496,-1.00783,26.854,-1.169,45.716,25.056
0.32103,-0.03596,0.21153,0.00770,-0.00064,-1.01362,26.683,-1.238,46.027,25.154
0.41373,-0.34848,0.14927,-0.00209,-0.00195,-1.00987,26.916,-1.207,45.902,25.025
0.18095,0.32694,-0.00201,0.00230,0.00350,-1.00786,27.232,-1.216,45.739,25.189
0.23135,-0.29315,0.07817,-0.01098,0.00221,-0.99622,26.846,-1.036,45.918,25.116
0.31378,-0.03694,0.02550,0.01117,-0.00154,-0.99388,27.257,-1.766,45.653,25.079
0.60611,-0.28102,0.53935,-0.01222,0.00280,-1.00309,26.926,-1.341,45.589,25.008
39.63613,-0.44469,-0.06645,0.00069,-0.00097,-0.99178,26.462,-1.095,45.782,25.085
39.47999,-0.23186,0.26260,-0.00299,-0.00693,-1.00210,27.231,-0.600,45.653,25.020
39.32835,-0.16281,0.09588,0.00225,-0.03287,-1.00083,26.644,0.060,45.630,25.194
39.34242,-0.05218,-0.02817,-0.00372,-0.04778,-0.98908,26.909,0.612,45.723,25.047
39.52069,-0.01157,0.12486,0.00011,-0.04947,-0.99991,26.750,1.044,45.550,25.078
39.24591,-0.26924,0.06575,-0.00501,-0.08020,-0.98519,26.927,1.970,45.468,25.175
38.94611,-0.00210,0.12799,-0.00036,-0.08589,-0.99604,26.856,2.710,45.942,25.107
38.85702,-0.62765,0.05946,0.00200,-0.08794,-0.99209,26.786,2.800,45.305,25.198
38.55451,-0.02383,0.13159,-0.00428,-0.10386,-0.99432,26.768,3.483,45.288,25.060
38.02428,-0.42781,0.21974,0.00671,-0.12759,-1.00722,26.898,4.118,45.386,25.037
37.41024,0.03673,0.09754,0.00404,-0.13499,-0.98762,26.480,4.509,44.969,25.050
37.19195,-0.49098,0.06082,-0.00569,-0.15675,-0.99016,26.797,4.968,45.732,25.140
37.03049,-0.26926,0.26404,0.00612,-0.16808,-0.99259,27.529,5.623,45.266,25.094
36.51485,-0.36919,-0.02079,0.00907,-0.17083,-1.00484,26.806,6.221,45.230,25.121
35.93380,-0.20688,0.17357,-0.00922,-0.19123,-0.98961,26.465,6.995,45.226,25.136
35.24956,-0.30057,0.06402,0.00890,-0.19258,-0.96653,26.558,7.265,44.539,25.035
34.73919,-0.27036,0.05308,-0.01228,-0.20709,-0.98026,27.029,7.973,44.420,25.126
34.06143,0.00988,0.12556,-0.00403,-0.22354,-0.98744,27.119,8.869,44.205,25.094
33.49012,-0.30914,0.31263,0.00998,-0.23364,-0.95622,26.808,8.771,44.593,25.070
33.04735,-0.12750,0.07676,-0.00148,-0.25007,-0.96798,26.477,9.315,44.276,25.136
32.27641,-0.10196,0.11161,-0.00568,-0.25606,-0.96742,26.922,9.642,44.043,25.117
31.58314,0.06085,0.24898,-0.00792,-0.25299,-0.97122,26.607,10.349,43.817,25.148
30.59994,-0.16013,0.00649,0.00677,-0.27045,-0.96448,27.036,10.024,44.128,25.103
29.68754,-0.19342,0.20497,-0.00590,-0.28552,-0.95899,26.898,11.429,43.795,25.175
28.78090,-0.17488,-0.12794,0.00057,-0.28849,-0.93954,26.812,11.355,44.041,25.112
28.13277,-0.08245,0.29391,-0.01386,-0.30325,-0.95291,26.533,11.543,43.640,25.087
27.12340,-0.24061,0.07735,0.00014,-0.30012,-0.95008,27.270,12.653,43.771,25.074
